"first.name","last.name","SID","Email","section_name","Total.Score","Max.Points","Status","Submission.ID","Submission.Time","Lateness..H.M.S","View.Count","Problem 1","Problem 2","Problem 3","Problem 4","Problem 5","Problem 6","Problem 7","Problem 8"
"Fatima","Williams",2111532443,"sfdffdsd@zyxyzxxw.com","ext-csci-Z-5a-98765",3,8,"Graded",6978866,"3/16/2021 23:38","00:00:00",3,0,0,0,0,1,0,1,1
"Emily","Thompson",4121155545,"asdsdaaa@wwzxzzyw.com","ext-csci-Z-5a-98765",1,8,"Graded",9788969,"3/21/2021 14:41","00:00:00",5,0,0,1,0,0,0,0,0
"David","Carter",3511433514,"daadfdas@xzxxxzyz.com","ext-csci-Z-5a-98765",0,8,"Graded",7666699,"3/17/2021 12:28","00:00:00",5,0,0,0,0,0,0,0,0
"Carol","Smith",4451221312,"sfffsfda@wzxyzwyx.com","ext-csci-Z-5a-98765",3,8,"Graded",7887678,"3/21/2021 12:32","00:00:00",8,1,0,0,1,0,0,1,0
"Justin","Smith",1255442545,"dassfdda@zwwwwwzw.com","ext-csci-Z-5a-98765",3,8,"Graded",7999979,"3/20/2021 22:27","00:00:00",0,0,1,0,0,1,0,0,1
"David","Shorter",2435335551,"adfaadfa@zzzyyyzz.com","ext-csci-Z-5a-98765",0,8,"Graded",8986866,"3/19/2021 18:49","00:00:00",8,0,0,0,0,0,0,0,0
"Bob","Davis",2113435413,"fsddssfd@wwwyzzzw.com","ext-csci-Z-5a-98765",2,8,"Graded",9796998,"3/17/2021 22:45","00:00:00",9,0,1,0,0,0,0,1,0
"David","Chambers",3355413424,"aaasfsaf@yzyyxyxy.com","ext-csci-Z-5a-98765",3,8,"Graded",8669796,"3/19/2021 19:49","00:00:00",0,1,0,0,1,1,0,0,0
"Meredith","Parker",5251454415,"fafdffdd@zzyxwzyy.com","ext-csci-Z-5a-98765",1,8,"Graded",6966869,"3/20/2021 19:19","00:00:00",7,0,0,0,0,0,0,0,1
"Meredith","Smith",3552452411,"affsfdaa@xxxywyxx.com","ext-csci-Z-5a-98765",2,8,"Graded",6669768,"3/21/2021 19:25","00:00:00",0,0,0,0,0,0,1,0,1
"Justin","Jones",5321555331,"dssaafdd@yyzxxwww.com","ext-csci-Z-5a-98765",0,8,"Graded",8766688,"3/20/2021 22:25","00:00:00",11,0,0,0,0,0,0,0,0
"Emily","Smith",5412525542,"fsaafadf@wywwwxzz.com","ext-csci-Z-5a-98765",0,8,"Graded",6897667,"3/18/2021 15:45","00:00:00",7,0,0,0,0,0,0,0,0
"Justin","Williams",2111522235,"safsffaa@xyyzzyyz.com","ext-csci-Z-5a-98765",3,8,"Graded",7866778,"3/21/2021 11:24","00:00:00",5,0,0,0,1,1,0,0,1
"Carol","Thompson",2424223555,"aafdsaad@yyxwyxzy.com","ext-csci-Z-5a-98765",2,8,"Graded",7699868,"3/22/2021 19:18","00:00:00",1,0,0,0,1,0,0,1,0
"Carol","Carter",1441144513,"daffddsa@zywyzzyx.com","ext-csci-Z-5a-98765",1,8,"Graded",9986989,"3/19/2021 17:17","00:00:00",2,0,0,0,0,0,1,0,0
"Emily","Jones",1222335412,"fddaasfs@zyzzxywz.com","ext-csci-Z-5a-98765",2,8,"Graded",6679886,"3/18/2021 18:40","00:00:00",12,0,1,0,1,0,0,0,0
"Meredith","Chambers",2211231232,"fadfssfs@wzxywyzw.com","ext-csci-Z-5a-98765",4,8,"Graded",7689788,"3/22/2021 12:35","00:00:00",11,1,1,1,0,1,0,0,0
"Arturo","Davis",1343113545,"fdffdfds@zzwzyxwy.com","ext-csci-Z-5a-98765",1,8,"Graded",9798896,"3/16/2021 12:30","00:00:00",11,0,0,0,1,0,0,0,0
"Justin","Carter",3514135424,"saffsafd@yyyxzxyz.com","ext-csci-Z-5a-98765",1,8,"Graded",7797966,"3/18/2021 17:29","00:00:00",2,0,0,0,0,0,0,1,0
"Fatima","Jones",5224513212,"sadfsdsd@yyyxzxyx.com","ext-csci-Z-5a-98765",2,8,"Graded",9676687,"3/16/2021 14:22","00:00:00",12,0,0,0,0,1,0,1,0
"Angela","Parker",5345524211,"aassfdfa@xzwwzzyy.com","ext-csci-Z-5a-98765",3,8,"Graded",6668969,"3/22/2021 10:42","00:00:00",8,1,1,0,0,1,0,0,0
"David","Williams",1243534134,"addsafff@xzxwxywy.com","ext-csci-Z-5a-98765",1,8,"Graded",6997989,"3/16/2021 12:59","00:00:00",0,0,0,0,0,1,0,0,0
"Carol","Chambers",4415434115,"ssfsdffd@zwwwwwxx.com","ext-csci-Z-5a-98765",0,8,"Graded",9869879,"3/17/2021 19:10","00:00:00",10,0,0,0,0,0,0,0,0
"Emily","Carter",2311421441,"ssadsdsa@zxzwxxzx.com","ext-csci-Z-5a-98765",3,8,"Graded",6887879,"3/22/2021 20:32","00:00:00",9,0,1,0,1,0,1,0,0
"Arturo","Carter",4344312252,"fssffdsa@wyzzxxyy.com","ext-csci-Z-5a-98765",2,8,"Graded",7776969,"3/21/2021 15:53","00:00:00",10,1,0,0,0,0,0,1,0
"Arturo","Chambers",3214133112,"dasassas@zxwzywyw.com","ext-csci-Z-5a-98765",2,8,"Graded",9798768,"3/18/2021 11:57","00:00:00",5,1,1,0,0,0,0,0,0
"Meredith","Davis",2133522235,"fsssssfd@zyzxwyyw.com","ext-csci-Z-5a-98765",1,8,"Graded",7997696,"3/22/2021 17:53","00:00:00",2,1,0,0,0,0,0,0,0
"Justin","Chambers",1511254455,"ffsssass@wwwxzyxw.com","ext-csci-Z-5a-98765",3,8,"Graded",9767987,"3/22/2021 18:32","00:00:00",4,0,1,1,0,0,1,0,0
"Carol","Parker",2521344514,"ddsaddsf@wwzwyxxz.com","ext-csci-Z-5a-98765",0,8,"Graded",7779966,"3/18/2021 23:26","00:00:00",7,0,0,0,0,0,0,0,0
"Fatima","Wilson",1344454314,"sassssds@ywwyxzyx.com","ext-csci-Z-5a-98765",4,8,"Graded",8769999,"3/19/2021 22:20","00:00:00",2,0,1,1,0,1,1,0,0
"David","Parker",1425241222,"afafsada@wxyzwxxw.com","ext-csci-Z-5a-98765",0,8,"Graded",7886678,"3/16/2021 22:50","00:00:00",6,0,0,0,0,0,0,0,0
"Geoffrey","Williams",3322213435,"asaasdds@zxwwzyyx.com","ext-csci-Z-5a-98765",1,8,"Graded",9986979,"3/19/2021 19:39","00:00:00",6,1,0,0,0,0,0,0,0
"Geoffrey","Smith",1135135541,"afdaffaa@wyywxwwz.com","ext-csci-Z-5a-98765",4,8,"Graded",6676988,"3/22/2021 22:11","00:00:00",8,0,1,0,1,1,1,0,0
"Meredith","Jones",2243411541,"adadssfa@yzywwwzz.com","ext-csci-Z-5a-98765",1,8,"Graded",8677777,"3/18/2021 13:44","00:00:00",6,0,0,0,0,0,0,1,0
"Geoffrey","Davis",5122434242,"adaafsfs@zxzyywzy.com","ext-csci-Z-5a-98765",4,8,"Graded",9976778,"3/17/2021 23:35","00:00:00",6,0,0,1,0,1,1,0,1
"Geoffrey","Wilson",1554414434,"addsdaaf@wzxxzzwx.com","ext-csci-Z-5a-98765",0,8,"Graded",7668868,"3/17/2021 20:11","00:00:00",2,0,0,0,0,0,0,0,0
"David","Smith",2115435313,"dssdfdfa@xyxzxxxw.com","ext-csci-Z-5a-98765",2,8,"Graded",7989886,"3/20/2021 17:35","00:00:00",8,0,0,1,1,0,0,0,0
"Bob","Carter",3433121535,"aaafddff@xywwwwzy.com","ext-csci-Z-5a-98765",2,8,"Graded",8687697,"3/16/2021 19:34","00:00:00",11,0,0,0,0,0,0,1,1
"David","Thompson",2534245455,"ddsdsdds@yzzxxxzy.com","ext-csci-Z-5a-98765",5,8,"Graded",8799679,"3/18/2021 18:14","00:00:00",2,1,1,0,0,1,1,0,1
"Arturo","Jones",5423113535,"asfaddaa@xwwzwxxw.com","ext-csci-Z-5a-98765",4,8,"Graded",7967679,"3/22/2021 15:12","00:00:00",6,0,1,1,0,0,1,0,1
"Meredith","Wilson",3521125332,"dfasadsd@wwzwzwwz.com","ext-csci-Z-5a-98765",2,8,"Graded",6898897,"3/20/2021 12:25","00:00:00",2,1,0,1,0,0,0,0,0
"Geoffrey","Carter",5532124354,"asddsssd@xzzyyzwy.com","ext-csci-Z-5a-98765",2,8,"Graded",7999767,"3/22/2021 19:16","00:00:00",5,0,0,1,0,1,0,0,0
"Geoffrey","Shorter",4242332352,"dfddasad@wxxxyzyz.com","ext-csci-Z-5a-98765",0,8,"Graded",6767887,"3/18/2021 12:16","00:00:00",2,0,0,0,0,0,0,0,0
"Geoffrey","Jones",3254343142,"aaafddas@wyyxzxyw.com","ext-csci-Z-5a-98765",2,8,"Graded",9867867,"3/19/2021 12:58","00:00:00",12,0,0,0,1,0,0,0,1
"Bob","Wilson",4112444424,"sddasasd@xwwwzzwz.com","ext-csci-Z-5a-98765",3,8,"Graded",7787767,"3/20/2021 17:43","00:00:00",9,1,0,0,0,0,0,1,1
"Angela","Thompson",3323311533,"afsafddf@yywyyxwy.com","ext-csci-Z-5a-98765",2,8,"Graded",9999878,"3/16/2021 15:49","00:00:00",8,1,0,0,0,1,0,0,0
"Angela","Jones",2444555424,"sfffsadd@zzwwzzyz.com","ext-csci-Z-5a-98765",0,8,"Graded",6668879,"3/17/2021 13:28","00:00:00",6,0,0,0,0,0,0,0,0
"Bob","Williams",1341251144,"dfafaaad@zywwywwz.com","ext-csci-Z-5a-98765",3,8,"Graded",9976878,"3/17/2021 18:37","00:00:00",4,1,1,0,1,0,0,0,0
"Geoffrey","Chambers",2123142412,"sdasffas@xzyzwzxx.com","ext-csci-Z-5a-98765",4,8,"Graded",9999967,"3/20/2021 11:21","00:00:00",9,1,0,1,0,0,1,0,1
"Arturo","Parker",3142323241,"sasassdd@zwyzwxww.com","ext-csci-Z-5a-98765",1,8,"Graded",9796768,"3/16/2021 14:58","00:00:00",2,1,0,0,0,0,0,0,0
"Justin","Davis",4335451424,"dassdfdd@zzywzyxz.com","ext-csci-Z-5a-98765",4,8,"Graded",6977688,"3/22/2021 18:58","00:00:00",9,1,0,1,0,1,0,0,1
"Justin","Shorter",5151114524,"dfddffdd@xyzzywyz.com","ext-csci-Z-5a-98765",1,8,"Graded",9676978,"3/16/2021 12:41","00:00:00",8,0,0,0,0,0,0,0,1
"Carol","Wilson",2343243123,"dsfadsss@yyxwxyzw.com","ext-csci-Z-5a-98765",3,8,"Graded",8797989,"3/20/2021 22:26","00:00:00",2,0,0,1,0,0,1,0,1
"Fatima","Shorter",5135414541,"dsaaadss@xyxyxxwx.com","ext-csci-Z-5a-98765",2,8,"Graded",8796898,"3/20/2021 10:19","00:00:00",1,1,0,0,0,0,0,1,0
"Justin","Wilson",3142443321,"aaasfaas@zwxwxxyz.com","ext-csci-Z-5a-98765",4,8,"Graded",7776678,"3/21/2021 20:24","00:00:00",2,1,1,1,0,0,1,0,0
"Arturo","Thompson",1445421111,"afdfsads@wwxzwxzz.com","ext-csci-Z-5a-98765",1,8,"Graded",6897678,"3/17/2021 16:23","00:00:00",2,0,0,1,0,0,0,0,0
"Meredith","Thompson",3513332235,"fsdfffff@zzwyzwwz.com","ext-csci-Z-5a-98765",4,8,"Graded",6767699,"3/22/2021 19:34","00:00:00",11,1,0,0,0,1,0,1,1
"Angela","Wilson",5314333452,"sfdsaaaa@zzwywwxx.com","ext-csci-Z-5a-98765",1,8,"Graded",9696996,"3/21/2021 18:13","00:00:00",1,0,1,0,0,0,0,0,0
"Bob","Parker",1251311254,"fasdssff@xyzyywyy.com","ext-csci-Z-5a-98765",4,8,"Graded",7997886,"3/17/2021 22:33","00:00:00",4,1,0,1,0,0,1,0,1
"Fatima","Smith",5524242423,"sasadsdd@xxwwwzxx.com","ext-csci-Z-5a-98765",1,8,"Graded",6988989,"3/21/2021 19:19","00:00:00",2,0,0,0,0,0,0,1,0
"Angela","Carter",5152531251,"aadfaads@wwxyxxxz.com","ext-csci-Z-5a-98765",2,8,"Graded",8798768,"3/22/2021 15:57","00:00:00",3,0,0,1,0,0,1,0,0
"Emily","Williams",5223333322,"dfffdaaa@ywxxwxzx.com","ext-csci-Z-5a-98765",3,8,"Graded",8689897,"3/22/2021 13:19","00:00:00",11,1,0,0,1,0,1,0,0
"Angela","Shorter",2231345533,"dsffsdas@wzyzyyzy.com","ext-csci-Z-5a-98765",0,8,"Graded",8667668,"3/18/2021 15:23","00:00:00",10,0,0,0,0,0,0,0,0
"Justin","Parker",1312542131,"sdasfdda@yzwxxwyy.com","ext-csci-Z-5a-98765",4,8,"Graded",7999788,"3/19/2021 12:53","00:00:00",10,0,0,0,1,1,0,1,1
"Carol","Williams",3224112511,"aadffsda@yywzwxwz.com","ext-csci-Z-5a-98765",1,8,"Graded",9868676,"3/21/2021 11:22","00:00:00",5,0,0,0,0,0,0,1,0
"Fatima","Thompson",4124224311,"adssaafa@xxwwxxxy.com","ext-csci-Z-5a-98765",1,8,"Graded",7787887,"3/20/2021 20:31","00:00:00",8,0,0,0,0,1,0,0,0
"Angela","Smith",2114524112,"afsffafa@zzzzxywx.com","ext-csci-Z-5a-98765",0,8,"Graded",9988977,"3/20/2021 16:14","00:00:00",4,0,0,0,0,0,0,0,0
"Arturo","Smith",3135513553,"faaadsaf@wywyyyxx.com","ext-csci-Z-5a-98765",1,8,"Graded",8866869,"3/17/2021 21:26","00:00:00",4,1,0,0,0,0,0,0,0
"Bob","Thompson",3243254312,"dsfafaff@ywzzxyyw.com","ext-csci-Z-5a-98765",2,8,"Graded",9989998,"3/21/2021 18:11","00:00:00",11,0,1,0,1,0,0,0,0
"David","Davis",1131424522,"fdsfaads@wzwwzxyz.com","ext-csci-Z-5a-98765",0,8,"Graded",8697788,"3/22/2021 11:53","00:00:00",5,0,0,0,0,0,0,0,0
