"First Name","Last Name","SID","Email","section_name","Total Score","Max Points","Status","Submission ID","Submission Time","Lateness: (H:M:S)","View Count","1: Problem 1: Report Missing Values (1.0 pts)","2: Problem 2: Report and Replace -9 Values (1.0 pts)","3: Problem 3: Report and Replace Outliers (1.0 pts)","4: Problem 4: Grocery.Store.Sales (1.0 pts)","5: Problem 5: Two.Tone.Stripchart (1.0 pts)","6: Problem 6: Final.Grades (1.0 pts)","7: Problem 7: Exploring.the.Gamma.Distribution (1.0 pts)","8: Problem 8: Fitting.a.Gamma.Distribution.to.Data (1.0 pts)"
"Emily","Parker",3411234154,"fadadafs@zyzzwxyx.com","ext-csci-Z-5a-98765",1,8,"Graded",9766887,"3/21/2021 13:35","00:00:00",1,0,0,0,0,0,0,0,1
"Arturo","Davis",1343113545,"asadasfd@xxwyzxwy.com","ext-csci-Z-5a-98765",2,8,"Graded",8678977,"3/16/2021 14:55","00:00:00",10,0,0,0,0,1,0,1,0
"Justin","Thompson",2522232153,"sadaddfs@xwyywzwx.com","ext-csci-Z-5a-98765",2,8,"Graded",8696977,"3/16/2021 12:17","00:00:00",7,0,1,0,0,0,0,1,0
"Emily","Chambers",3251253232,"fassdafd@zyywwxyx.com","ext-csci-Z-5a-98765",4,8,"Graded",9787868,"3/21/2021 18:30","00:00:00",12,1,0,0,1,0,1,1,0
"Fatima","Jones",5224513212,"saaasfaf@wwxyzwww.com","ext-csci-Z-5a-98765",1,8,"Graded",7887697,"3/22/2021 10:23","00:00:00",11,0,0,0,1,0,0,0,0
"Fatima","Williams",2111532443,"ffsaadsa@yzzwyzzz.com","ext-csci-Z-5a-98765",1,8,"Graded",7786777,"3/17/2021 16:27","00:00:00",7,1,0,0,0,0,0,0,0
"Fatima","Davis",4152155442,"afafsfas@xyywxxwx.com","ext-csci-Z-5a-98765",2,8,"Graded",6677679,"3/17/2021 12:32","00:00:00",2,0,1,0,1,0,0,0,0
"Emily","Jones",1222335412,"dafdssaf@zwyzzyxz.com","ext-csci-Z-5a-98765",2,8,"Graded",9678698,"3/17/2021 10:11","00:00:00",2,0,0,0,0,0,1,1,0
"Carol","Williams",3224112511,"aasffdds@xzzywxyz.com","ext-csci-Z-5a-98765",3,8,"Graded",8667888,"3/19/2021 14:59","00:00:00",4,1,0,0,0,0,1,0,1
"David","Jones",5424223131,"saafssaa@yxyxwywy.com","ext-csci-Z-5a-98765",0,8,"Graded",9679987,"3/22/2021 11:15","00:00:00",12,0,0,0,0,0,0,0,0
"Carol","Chambers",4415434115,"fdaffsfd@yxyxwxxw.com","ext-csci-Z-5a-98765",3,8,"Graded",9969986,"3/16/2021 10:26","00:00:00",3,0,0,1,1,0,0,0,1
"Angela","Parker",5345524211,"addafsds@xyyxywwx.com","ext-csci-Z-5a-98765",1,8,"Graded",9869897,"3/20/2021 10:17","00:00:00",8,0,0,0,1,0,0,0,0
"Angela","Davis",3411553325,"afdddafd@zyyxzwyw.com","ext-csci-Z-5a-98765",0,8,"Graded",9978788,"3/21/2021 20:11","00:00:00",0,0,0,0,0,0,0,0,0
"Geoffrey","Smith",1135135541,"fasdfasd@wzzwzxzy.com","ext-csci-Z-5a-98765",1,8,"Graded",8669768,"3/16/2021 11:26","00:00:00",3,0,0,0,0,0,0,1,0
"David","Wilson",3444133143,"dddsdfdf@wxzzzyyy.com","ext-csci-Z-5a-98765",1,8,"Graded",9687998,"3/19/2021 20:31","00:00:00",8,0,0,0,0,1,0,0,0
"Fatima","Wilson",1344454314,"fddfsadd@ywyxyzwx.com","ext-csci-Z-5a-98765",2,8,"Graded",9668796,"3/20/2021 13:11","00:00:00",11,1,0,0,0,0,0,1,0
"Justin","Chambers",1511254455,"dsssfada@xxyyyzyw.com","ext-csci-Z-5a-98765",1,8,"Graded",8669997,"3/21/2021 17:38","00:00:00",12,0,0,0,0,0,0,0,1
"Bob","Jones",1521413523,"fadsdfaa@zzxwxzzx.com","ext-csci-Z-5a-98765",2,8,"Graded",7996877,"3/20/2021 17:17","00:00:00",10,0,1,1,0,0,0,0,0
"Emily","Carter",2311421441,"affdsdsf@yzxyxwxy.com","ext-csci-Z-5a-98765",1,8,"Graded",9699678,"3/16/2021 17:51","00:00:00",1,1,0,0,0,0,0,0,0
"Arturo","Carter",4344312252,"fsdsdaad@wzxwxwyz.com","ext-csci-Z-5a-98765",2,8,"Graded",8879997,"3/16/2021 14:49","00:00:00",7,0,0,0,1,0,1,0,0
"Meredith","Davis",2133522235,"dfdddasd@wywzxzyy.com","ext-csci-Z-5a-98765",4,8,"Graded",9777887,"3/16/2021 11:19","00:00:00",9,0,1,1,1,1,0,0,0
"Meredith","Carter",4553223121,"dfsfasfs@xwywyxzw.com","ext-csci-Z-5a-98765",1,8,"Graded",8988676,"3/20/2021 19:28","00:00:00",2,0,0,0,1,0,0,0,0
"Arturo","Shorter",4153144544,"safdsfds@xxyyxxyy.com","ext-csci-Z-5a-98765",0,8,"Graded",8799987,"3/22/2021 18:17","00:00:00",11,0,0,0,0,0,0,0,0
"Angela","Carter",5152531251,"aafsfdfs@zzzyzxxy.com","ext-csci-Z-5a-98765",4,8,"Graded",7898798,"3/18/2021 19:25","00:00:00",3,1,0,0,1,1,0,1,0
"Justin","Parker",1312542131,"fsdsfffd@wxwxxwxx.com","ext-csci-Z-5a-98765",2,8,"Graded",8966896,"3/18/2021 16:13","00:00:00",7,1,0,1,0,0,0,0,0
"Arturo","Jones",5423113535,"ffadsaas@wwxyzxzw.com","ext-csci-Z-5a-98765",1,8,"Graded",9988989,"3/19/2021 18:17","00:00:00",3,1,0,0,0,0,0,0,0
"Bob","Wilson",4112444424,"fdddddad@yxyzyxwx.com","ext-csci-Z-5a-98765",1,8,"Graded",8777698,"3/20/2021 14:43","00:00:00",11,0,0,1,0,0,0,0,0
"Emily","Wilson",2234454341,"dffsaafa@zwzzxwyy.com","ext-csci-Z-5a-98765",0,8,"Graded",9968689,"3/19/2021 20:35","00:00:00",11,0,0,0,0,0,0,0,0
"Angela","Chambers",3242255225,"sdaasadf@zyyxwxzx.com","ext-csci-Z-5a-98765",1,8,"Graded",6876786,"3/18/2021 11:35","00:00:00",5,0,0,0,1,0,0,0,0
"Geoffrey","Jones",3254343142,"faaaadss@xwzxyzxx.com","ext-csci-Z-5a-98765",5,8,"Graded",6698897,"3/18/2021 13:26","00:00:00",4,1,1,1,0,0,1,1,0
"Fatima","Parker",4353152313,"dsdsdfaf@ywyzywyw.com","ext-csci-Z-5a-98765",2,8,"Graded",8696868,"3/21/2021 21:28","00:00:00",7,1,0,0,0,0,0,0,1
"David","Smith",2115435313,"ffdasass@wyyzzwxz.com","ext-csci-Z-5a-98765",0,8,"Graded",7779896,"3/19/2021 13:16","00:00:00",1,0,0,0,0,0,0,0,0
"Emily","Thompson",4121155545,"saddafaa@yzyxyywy.com","ext-csci-Z-5a-98765",5,8,"Graded",6999989,"3/19/2021 14:26","00:00:00",2,0,1,0,1,1,1,0,1
"Emily","Shorter",4131345341,"sdsssafd@wzyxxxwx.com","ext-csci-Z-5a-98765",0,8,"Graded",6977666,"3/22/2021 23:41","00:00:00",2,0,0,0,0,0,0,0,0
"Justin","Jones",5321555331,"fssdfadd@zzxzwyzw.com","ext-csci-Z-5a-98765",0,8,"Graded",6979878,"3/17/2021 11:34","00:00:00",8,0,0,0,0,0,0,0,0
"Emily","Williams",5223333322,"fsfadaaf@zxyzzzyx.com","ext-csci-Z-5a-98765",4,8,"Graded",8677799,"3/19/2021 16:52","00:00:00",1,0,0,1,0,1,0,1,1
"Emily","Smith",5412525542,"adffsdfa@zyxyxwyz.com","ext-csci-Z-5a-98765",4,8,"Graded",8967899,"3/21/2021 10:55","00:00:00",12,0,1,1,1,0,1,0,0
"Bob","Davis",2113435413,"addsdssf@yyzwzyzx.com","ext-csci-Z-5a-98765",5,8,"Graded",7898996,"3/18/2021 14:48","00:00:00",11,1,0,1,0,1,1,0,1
"Carol","Parker",2521344514,"saasaaaa@yyzwzzyy.com","ext-csci-Z-5a-98765",0,8,"Graded",7998776,"3/16/2021 16:19","00:00:00",3,0,0,0,0,0,0,0,0
"Geoffrey","Davis",5122434242,"sdddssfs@zzwzzwwy.com","ext-csci-Z-5a-98765",1,8,"Graded",8979987,"3/16/2021 13:33","00:00:00",4,0,0,0,0,0,0,1,0
"Meredith","Smith",3552452411,"fffadfsa@zwywyyxx.com","ext-csci-Z-5a-98765",2,8,"Graded",8699896,"3/17/2021 22:55","00:00:00",7,0,1,0,0,1,0,0,0
"David","Parker",1425241222,"sassdsss@xxzxxyxy.com","ext-csci-Z-5a-98765",6,8,"Graded",8778969,"3/19/2021 23:15","00:00:00",8,1,1,1,1,0,1,1,0
"Arturo","Smith",3135513553,"ddfadaaf@yxxxxywx.com","ext-csci-Z-5a-98765",2,8,"Graded",7698876,"3/21/2021 12:37","00:00:00",10,0,1,0,1,0,0,0,0
"David","Carter",3511433514,"afssddaf@yywxywzx.com","ext-csci-Z-5a-98765",0,8,"Graded",9899887,"3/17/2021 22:38","00:00:00",8,0,0,0,0,0,0,0,0
"Fatima","Thompson",4124224311,"addadaad@wwzzwwyw.com","ext-csci-Z-5a-98765",2,8,"Graded",9797976,"3/17/2021 19:21","00:00:00",10,0,1,1,0,0,0,0,0
"Carol","Shorter",3352121545,"sfdsfdsd@zwwxwwxy.com","ext-csci-Z-5a-98765",0,8,"Graded",6686888,"3/21/2021 11:23","00:00:00",5,0,0,0,0,0,0,0,0
"Carol","Jones",3353255451,"sdaadfaa@xxxyywxz.com","ext-csci-Z-5a-98765",2,8,"Graded",9767689,"3/21/2021 17:10","00:00:00",0,0,0,0,0,1,0,1,0
"Justin","Davis",4335451424,"fssffasa@wwywzxxy.com","ext-csci-Z-5a-98765",3,8,"Graded",8876778,"3/21/2021 18:20","00:00:00",10,0,1,0,1,0,1,0,0
"Meredith","Shorter",1215244225,"fsddsads@xwyxwxyx.com","ext-csci-Z-5a-98765",2,8,"Graded",6797797,"3/20/2021 14:46","00:00:00",1,0,0,0,0,0,0,1,1
"Justin","Williams",2111522235,"sddfdfff@xxzyyxxx.com","ext-csci-Z-5a-98765",1,8,"Graded",7676689,"3/21/2021 12:43","00:00:00",4,0,1,0,0,0,0,0,0
"Justin","Carter",3514135424,"asffssds@yxxxyzyy.com","ext-csci-Z-5a-98765",1,8,"Graded",7988776,"3/21/2021 13:29","00:00:00",3,0,0,0,1,0,0,0,0
"Angela","Wilson",5314333452,"dasafsaf@xxxxzxwz.com","ext-csci-Z-5a-98765",2,8,"Graded",7876876,"3/18/2021 16:59","00:00:00",0,0,0,0,1,0,0,1,0
"Meredith","Thompson",3513332235,"affaffaf@zxzyxyyx.com","ext-csci-Z-5a-98765",1,8,"Graded",7769789,"3/18/2021 17:21","00:00:00",4,0,1,0,0,0,0,0,0
"David","Shorter",2435335551,"fdaasffd@yzzwzwxz.com","ext-csci-Z-5a-98765",0,8,"Graded",9879989,"3/21/2021 19:46","00:00:00",4,0,0,0,0,0,0,0,0
"Arturo","Wilson",2245321334,"fdadsfss@zxyxxzzw.com","ext-csci-Z-5a-98765",1,8,"Graded",8769999,"3/18/2021 14:14","00:00:00",8,0,0,0,0,0,1,0,0
"Justin","Shorter",5151114524,"affaasss@zzzywxwx.com","ext-csci-Z-5a-98765",0,8,"Graded",7879999,"3/19/2021 22:43","00:00:00",0,0,0,0,0,0,0,0,0
"Angela","Thompson",3323311533,"ddsfffds@xzxwxwzy.com","ext-csci-Z-5a-98765",4,8,"Graded",6967878,"3/19/2021 16:27","00:00:00",4,0,1,0,1,0,0,1,1
"Emily","Davis",4345225341,"fdafsfff@yxxwxwzz.com","ext-csci-Z-5a-98765",4,8,"Graded",9679678,"3/21/2021 18:44","00:00:00",4,0,1,0,0,1,0,1,1
"David","Williams",1243534134,"aaddadsa@ywxxxywz.com","ext-csci-Z-5a-98765",0,8,"Graded",7798998,"3/21/2021 13:43","00:00:00",2,0,0,0,0,0,0,0,0
"David","Chambers",3355413424,"fdsddsfd@zwyyzwzy.com","ext-csci-Z-5a-98765",2,8,"Graded",7686897,"3/21/2021 15:55","00:00:00",11,0,0,1,0,0,0,1,0
"Bob","Parker",1251311254,"ffddasss@wxyxzzzy.com","ext-csci-Z-5a-98765",2,8,"Graded",7697688,"3/18/2021 15:43","00:00:00",6,0,0,0,1,0,0,1,0
"Bob","Shorter",2423354543,"dsddaafd@xxzyywzw.com","ext-csci-Z-5a-98765",0,8,"Graded",7886886,"3/21/2021 22:18","00:00:00",8,0,0,0,0,0,0,0,0
"Geoffrey","Williams",3322213435,"sdfafssf@wxyzxzzw.com","ext-csci-Z-5a-98765",0,8,"Graded",9687998,"3/21/2021 15:49","00:00:00",9,0,0,0,0,0,0,0,0
"Bob","Chambers",3212231242,"sssfddas@zwzxwzyz.com","ext-csci-Z-5a-98765",0,8,"Graded",6677776,"3/16/2021 15:18","00:00:00",3,0,0,0,0,0,0,0,0
"Geoffrey","Thompson",5323422515,"fdfdfsfs@zwzzwzyz.com","ext-csci-Z-5a-98765",5,8,"Graded",6869986,"3/21/2021 12:41","00:00:00",6,0,1,1,1,0,0,1,1
"Arturo","Parker",3142323241,"faffdada@wwwzzwyx.com","ext-csci-Z-5a-98765",3,8,"Graded",6667799,"3/21/2021 14:24","00:00:00",9,0,0,1,1,0,1,0,0
"Arturo","Williams",4134522521,"ddfdaasd@xxwwzyxx.com","ext-csci-Z-5a-98765",0,8,"Graded",8979968,"3/20/2021 10:48","00:00:00",0,0,0,0,0,0,0,0,0
"Fatima","Chambers",1132222453,"ddfasfsa@zwzxzxxw.com","ext-csci-Z-5a-98765",3,8,"Graded",9986786,"3/18/2021 20:51","00:00:00",0,0,1,1,0,1,0,0,0
"Carol","Smith",4451221312,"dfdfaffs@yzyxxzww.com","ext-csci-Z-5a-98765",2,8,"Graded",9687687,"3/22/2021 18:52","00:00:00",7,0,1,1,0,0,0,0,0
"Fatima","Smith",5524242423,"sfafssfa@xxzzwzyz.com","ext-csci-Z-5a-98765",3,8,"Graded",7977679,"3/21/2021 17:40","00:00:00",1,1,1,0,0,0,1,0,0
"Carol","Wilson",2343243123,"fsafdadd@yzxxyxzw.com","ext-csci-Z-5a-98765",2,8,"Graded",6996798,"3/19/2021 17:41","00:00:00",12,1,0,0,1,0,0,0,0
"David","Davis",1131424522,"fdfaffsd@zwwyxyyy.com","ext-csci-Z-5a-98765",0,8,"Graded",9867879,"3/21/2021 22:31","00:00:00",10,0,0,0,0,0,0,0,0
"Fatima","Carter",5344115124,"faddfsda@zyzxyxyx.com","ext-csci-Z-5a-98765",2,8,"Graded",8697669,"3/17/2021 15:58","00:00:00",0,0,1,0,0,0,0,1,0
"Fatima","Shorter",5135414541,"sadafdss@zzxyxxyy.com","ext-csci-Z-5a-98765",4,8,"Graded",8666996,"3/20/2021 22:21","00:00:00",9,0,0,0,1,1,1,0,1
"Meredith","Wilson",3521125332,"ssffddsa@wxwzyzwx.com","ext-csci-Z-5a-98765",3,8,"Graded",8998996,"3/22/2021 12:51","00:00:00",11,0,1,0,1,0,1,0,0
"Meredith","Parker",5251454415,"fddsdadd@xyxxzwzy.com","ext-csci-Z-5a-98765",2,8,"Graded",8788986,"3/20/2021 12:36","00:00:00",8,1,0,0,1,0,0,0,0
"David","Thompson",2534245455,"fadsddss@zzwyzzyz.com","ext-csci-Z-5a-98765",2,8,"Graded",7897779,"3/18/2021 16:27","00:00:00",6,0,0,1,1,0,0,0,0
"Carol","Carter",1441144513,"adssfsda@yxxywwwy.com","ext-csci-Z-5a-98765",4,8,"Graded",8988788,"3/16/2021 11:23","00:00:00",8,1,0,0,1,0,0,1,1
"Bob","Smith",5534211241,"sfdsffaa@xxwzyyyz.com","ext-csci-Z-5a-98765",3,8,"Graded",8998888,"3/21/2021 21:18","00:00:00",12,1,1,0,0,0,1,0,0
"Angela","Smith",2114524112,"dafsddsf@yxxzxyzw.com","ext-csci-Z-5a-98765",0,8,"Graded",9867976,"3/16/2021 10:53","00:00:00",11,0,0,0,0,0,0,0,0
"Arturo","Thompson",1445421111,"sfdaasaa@wzwyzzzz.com","ext-csci-Z-5a-98765",1,8,"Graded",6696877,"3/18/2021 21:23","00:00:00",10,0,0,0,0,0,1,0,0
"Angela","Jones",2444555424,"sssaafsa@wzyyzwwx.com","ext-csci-Z-5a-98765",0,8,"Graded",8666896,"3/22/2021 13:37","00:00:00",2,0,0,0,0,0,0,0,0
"Bob","Williams",1341251144,"dadfffda@zzxxxwwy.com","ext-csci-Z-5a-98765",3,8,"Graded",7879789,"3/17/2021 19:58","00:00:00",12,0,0,0,0,0,1,1,1
"Meredith","Williams",4555512333,"fafdadff@zxwyzzxw.com","ext-csci-Z-5a-98765",1,8,"Graded",9866788,"3/22/2021 22:13","00:00:00",6,0,0,1,0,0,0,0,0
"Angela","Williams",2134455533,"dffsssas@wwwxzxww.com","ext-csci-Z-5a-98765",0,8,"Graded",9866696,"3/21/2021 12:34","00:00:00",11,0,0,0,0,0,0,0,0
"Geoffrey","Shorter",4242332352,"dsfsaaaa@yywwwxxy.com","ext-csci-Z-5a-98765",0,8,"Graded",9989968,"3/16/2021 17:28","00:00:00",10,0,0,0,0,0,0,0,0
"Carol","Davis",1142232245,"ssfsdfda@xxzzyxww.com","ext-csci-Z-5a-98765",1,8,"Graded",7697866,"3/20/2021 10:24","00:00:00",7,0,0,0,0,0,0,1,0
"Bob","Carter",3433121535,"dadfddds@wzzzzyyy.com","ext-csci-Z-5a-98765",1,8,"Graded",6997989,"3/22/2021 11:19","00:00:00",4,0,0,0,0,0,1,0,0
"Geoffrey","Chambers",2123142412,"sfassdaf@xwyzxwyy.com","ext-csci-Z-5a-98765",1,8,"Graded",7799686,"3/21/2021 16:27","00:00:00",11,0,1,0,0,0,0,0,0
"Arturo","Chambers",3214133112,"sfasaadd@zzyzxwww.com","ext-csci-Z-5a-98765",0,8,"Graded",6768678,"3/16/2021 20:33","00:00:00",7,0,0,0,0,0,0,0,0
